id,doi,title,venue_id,author_position,institution_id,work_frac,APC,waiver,APC_in_dollar,University,country,Period,PP_top10,publication_year,last_year_of_period,concept_id,score,display_name,level,concept_frac
https://openalex.org/W2248154252,https://doi.org/10.1186/s12974-016-0476-z,Neuroprotective effects of bee venom phospholipase A2 in the 3xTg AD mouse model of Alzheimer’s disease,https://openalex.org/V199572710,first,https://openalex.org/I35928602,0.1111111111111111,TRUE,TRUE,2734.9158,Kyung Hee University,South Korea,2013–2016,0.0619386778703877,2016,2016,https://openalex.org/C71924100,0.45763,Medicine,0,0.40255521356634727
https://openalex.org/W2466222259,https://doi.org/10.1038/srep20773,"Constitutive expression of a novel antimicrobial protein, Hcm1, confers resistance to both Verticillium and Fusarium wilts in cotton.",https://openalex.org/V196734849,first,https://openalex.org/I119454577,0.14285714285714285,TRUE,TRUE,1990,Nanjing Agricultural University,China,2013–2016,0.0875502594307417,2016,2016,https://openalex.org/C86803240,0.618807,Biology,0,1
https://openalex.org/W2479626230,https://doi.org/10.2147/cia.s106808,Surveying the effects of an exercise program on the sleep quality of elderly males.,https://openalex.org/V68257898,last,https://openalex.org/I48379061,0.1111111111111111,TRUE,TRUE,2836,Shahid Beheshti University,Iran,2013–2016,0.0742592098506608,2016,2016,https://openalex.org/C71924100,0.812855,Medicine,0,1
https://openalex.org/W2499964052,https://doi.org/10.1002/ece3.2357,Airport noise predicts song timing of European birds.,https://openalex.org/V2482021738,first,https://openalex.org/I7882870,0.25,TRUE,TRUE,2200,University of Glasgow,United Kingdom,2013–2016,0.1506539541423,2016,2016,https://openalex.org/C86803240,0.334315,Biology,0,0.4216479983654463
https://openalex.org/W2521200078,https://doi.org/10.1016/j.celrep.2016.08.062,Sterile Inflammation Enhances ECM Degradation in Integrin β1 KO Embryonic Skin.,https://openalex.org/V169236886,last,https://openalex.org/I32971472,0.16666666666666666,TRUE,TRUE,5200,Yale University,United States,2013–2016,0.187852274672944,2016,2016,https://openalex.org/C185592680,0.473022,Chemistry,0,0.5469334992172161
https://openalex.org/W2572436034,https://doi.org/10.5194/acp-17-9665-2017,Observational evidence for the formation of DMS-derived aerosols during Arctic phytoplankton blooms,https://openalex.org/V162708223,last,https://openalex.org/I4575257,0.09090909090909091,TRUE,TRUE,1715.0960000000002,Hanyang University,South Korea,2014–2017,0.0667028023953293,2017,2017,https://openalex.org/C39432304,0.608511,Environmental science,0,1
https://openalex.org/W2588642781,https://doi.org/10.1186/s12913-017-2089-3,Collaborative leadership and the implementation of community-based fall prevention initiatives: a multiple case study of public health practice within community groups.,https://openalex.org/V12898181,first,https://openalex.org/I98251732,0.125,TRUE,TRUE,2235.3878,McMaster University,Canada,2014–2017,0.125248687952316,2017,2017,https://openalex.org/C71924100,0.596637,Medicine,0,1
https://openalex.org/W2598325279,https://doi.org/10.3389/fpls.2017.00254,Copy Number Variation in Acetolactate Synthase Genes of Thifensulfuron-Methyl Resistant Alopecurus aequalis (Shortawn Foxtail) Accessions in Japan,https://openalex.org/V2493613807,last,https://openalex.org/I22299242,0.125,TRUE,TRUE,2950,Kyoto University,Japan,2014–2017,0.0799166050685544,2017,2017,https://openalex.org/C86803240,0.695925,Biology,0,1
https://openalex.org/W2608026191,https://doi.org/10.3389/fonc.2017.00078,"Endoplasmic Reticulum Stress, Unfolded Protein Response, and Cancer Cell Fate.",https://openalex.org/V2596394214,last,https://openalex.org/I116067653,0.25,TRUE,TRUE,2950,University of Rome Tor Vergata,Italy,2014–2017,0.0859986513497161,2017,2017,https://openalex.org/C86803240,0.342673,Biology,0,0.4475828361250143
https://openalex.org/W2729759977,https://doi.org/10.1590/1678-992x-2016-0242,Biochar from different residues on soil properties and common bean production,https://openalex.org/V44148602,first,https://openalex.org/I110200422,0.16666666666666666,TRUE,FALSE,900,Universidade Federal de Minas Gerais,Brazil,2014–2017,0.0603533607462576,2017,2017,https://openalex.org/C185592680,0.493152,Chemistry,0,0.5928804145277052
https://openalex.org/W2729881979,https://doi.org/10.1038/s41598-017-05059-9,Negative voltage modulated multi-level resistive switching by using a Cr/BaTiO x/TiN structure and quantum conductance through evidence of H 2 O 2 sensing mechanism,https://openalex.org/V196734849,first,https://openalex.org/I173093425,0.06666666666666667,TRUE,TRUE,1990,Chang Gung University,Taiwan,2014–2017,0.0597448072455794,2017,2017,https://openalex.org/C192562407,0.696463,Materials science,0,1
